INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,SHIP_CLASS,IMO,E_CO2_kg,E_SOx_kg,E_NOx_kg,E_PM_kg,E_CH4_kg,E_CO_kg,E_N2O_kg,E_BC_kg,E_NMVOC_kg,E_PM10_kg,E_PM2.5_kg,DURATION,PDemand_kW,FuelConsumption_tonnes,
39470,39330,GENOVA,IT,44.4,8.933333333,44,24,N,8,56,E,195814255.8,1995644.232,2811628.82,15000,2557.881557,136478.2106,10881.55706,14139.57057,110561.4949,289000.511,265880.4701,108015,278392941.3,62758.59439,0,0,0
31060,30980,AMSTERDAM,NL,52.36666667,4.9,52,22,N,4,54,E,14493,8513663.294,1860767.141,10000,12565.23961,111.2122416,5933.835244,473.1111764,614.7639378,4807.021517,12565.23961,11560.02044,4696.304348,12104040.93,2728.634539,0,0
31250,31240,ANTWERP,BE,51.21666667,4.4,51,13,N,4,24,E,14493,8513663.294,2186767.141,7000,12565.23961,111.2122416,5933.835244,473.1111764,614.7639378,4807.021517,12565.23961,11560.02044,4696.304348,12104040.93,2728.634539,0,0
61090,61070,SHAKOTAN,RU,43.86666667,146.8333333,43,52,N,146,50,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61110,61100,MOMBETSU KO,JP,44.35,143.35,44,21,N,143,21,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750,5705,CHARLOTTETOWN,CA,46.23333333,-63.13333333,46,14,N,63,8,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61120,61100,ABASHIRI KO,JP,44.01666667,144.2833333,44,1,N,144,17,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61130,61100,NEMURO KO,JP,43.33333333,145.5833333,43,20,N,145,35,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61140,61100,HANASAKI KO,JP,43.28333333,145.5833333,43,17,N,145,35,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61160,61100,KUSHIRO KO,JP,42.98333333,144.3666667,42,59,N,144,22,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61165,61100,TOMAKOMAI KO,JP,42.63333333,141.6333333,42,38,N,141,38,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61170,61100,MURORAN KO,JP,42.35,140.9666667,42,21,N,140,58,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61180,61100,MORI,JP,42.11666667,140.5833333,42,7,N,140,35,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49500,49310,GOPALPUR,IN,19.25,84.91666667,19,15,N,84,55,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47990,47950,EL GHARDAQA,EG,27.21666667,33.85,27,13,N,33,51,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,47950,RAS SHUKHIER,EG,28.13333333,33.28333333,28,8,N,33,17,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48020,47950,RAS GHARIB,EG,28.35,33.1,28,21,N,33,6,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48040,47950,AS SUWAYS,EG,29.96666667,32.55,29,58,N,32,33,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48045,47950,EL-ADABIYA,EG,29.86666667,32.46666667,29,52,N,32,28,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
